*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=StreamCon V1_7
*Date=11:07:56
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;THT;79.6624;-12.879;0;Bottom;B33
2;;;54.7713;-63.4387;0;Bottom;TXT1
3;;THT;59.3424;-12.879;0;Bottom;B31
4;;;75.8163;-55.819;0;Bottom;TXT1
5;;THT;89.8224;-28.119;0;Bottom;B14
6;;;7.22822;-17.9355;0;Bottom;TXT5
7;;;37.5571;-93.6782;90;Bottom;TXT1
8;;;32.6081;-65.9325;0;Bottom;TXT1
9;;;54.8136;-68.4935;0;Bottom;TXT1
10;;;40.3594;-18.0713;0;Bottom;TXT5
11;;;33.6472;-81.2767;0;Bottom;TXT1
12;;THT;39.0224;-12.879;0;Bottom;L34
13;;;11.8887;-53.1091;0;Bottom;TXT1
14;;;32.6078;-63.4864;0;Bottom;TXT1
15;;;30.2906;-2.91931;0;Bottom;TXT5
16;;;17.5338;-10.4132;0;Bottom;TXT5
17;;THT;8.54244;-20.499;0;Bottom;L21
18;;;11.9886;-73.7217;0;Bottom;TXT1
19;;;27.7932;-10.5876;0;Bottom;TXT5
20;;;32.7961;-45.6125;0;Bottom;TXT1
21;;;11.9886;-76.3557;0;Bottom;TXT1
22;;;37.8019;-2.97096;0;Bottom;TXT5
23;;;76.5681;-73.6461;0;Bottom;TXT1
24;;THT;18.7024;-20.499;0;Bottom;L22
25;;;23.8982;-34.8855;0;Bottom;TXT4
26;;THT;50.4524;-20.499;0;Bottom;J42
27;;;75.8163;-48.105;0;Bottom;TXT1
28;;;11.8726;-55.7761;0;Bottom;TXT1
29;;;33.0969;-83.7389;0;Bottom;TXT1
30;;;30.3631;-10.5351;0;Bottom;TXT5
31;;THT;59.3424;-5.25901;0;Bottom;B41
32;;;32.7021;-53.2325;0;Bottom;TXT1
33;;THT;79.6624;-5.25901;0;Bottom;B43
34;;;75.7692;-68.4721;0;Bottom;TXT1
35;;THT;8.54244;-28.119;0;Bottom;L11
36;;;31.244;-40.6441;0;Bottom;TXT3
37;;;32.6078;-61.0407;0;Bottom;TXT1
38;;;41.596;-96.5712;0;Bottom;TXT1
39;;;75.8163;-53.185;0;Bottom;TXT1
40;;THT;50.4524;-12.879;0;Bottom;J44
41;;;33.7716;-86.2999;0;Bottom;TXT1
42;1k;THT;49.6904;-85.269;90;Bottom;R15
43;1k;THT;87.2824;-82.729;0;Bottom;R13
44;;THT;89.8224;-12.879;0;Bottom;B34
45;;THT;69.5024;-28.119;0;Bottom;B12
46;;;33.1045;-71.1095;0;Bottom;TXT1
47;;;69.3837;-61.3663;90;Bottom;TXT2
48;;;17.4613;-2.79739;0;Bottom;TXT5
49;;THT;14.8924;-68.759;0;Bottom;J35
50;;;37.8745;-10.5867;0;Bottom;TXT5
51;;;32.7021;-50.7867;0;Bottom;TXT1
52;;;52.4563;-15.4257;90;Bottom;TXT5
53;;;54.9115;-60.9294;0;Bottom;TXT1
